placa;anno_permiso;Tipo_pago;CodSII;fecha_emision;fecha_pago;MONTO_PAGADO;REAJUSTE;MULTA;PERMISO_ANTERIOR;ELECTRONICO_PAPEL;FECHA_VENCIMIENTO;SEXO
TTGW67;2024;TOTAL;;15/11/2024;18/11/2024;160636;0;0;PUERTO MONTT;PAPEL;31/03/2025;M
TTGW73;2024;TOTAL;;04/11/2024;04/11/2024;52115;0;0;PUERTO MONTT;PAPEL;31/03/2025;H
TTGW76;2024;TOTAL;;04/11/2024;04/11/2024;89885;0;0;SANTIAGO;PAPEL;31/03/2025;M
TTGW82;2024;TOTAL;;04/11/2024;04/11/2024;153126;0;0;PUERTO MONTT;PAPEL;31/03/2025;H
TTGW86;2024;TOTAL;;04/11/2024;04/11/2024;33864;0;0;PUERTO MONTT;PAPEL;31/03/2025;M
TTGW95;2024;TOTAL;;04/11/2024;04/11/2024;23617;0;0;SANTIAGO;PAPEL;31/03/2025;H
TTGX98;2024;TOTAL;;15/11/2024;18/11/2024;160636;0;0;PUERTO MONTT;PAPEL;31/03/2025;M
TTSF30;2024;TOTAL;;22/11/2024;22/11/2024;8295;0;0;PUERTO MONTT;PAPEL;30/09/2025;H
TTSF49;2024;TOTAL;;22/11/2024;22/11/2024;8295;0;0;MAIPU;PAPEL;30/09/2025;M
TTVJ30;2024;TOTAL;;04/11/2024;04/11/2024;35124;0;0;RENCA;PAPEL;31/03/2025;H
TTVJ31;2024;TOTAL;;04/11/2024;04/11/2024;64746;0;0;VALDIVIA;PAPEL;31/03/2025;H
TTVJ42;2024;TOTAL;;04/11/2024;04/11/2024;89947;0;0;MAFIL;PAPEL;31/03/2025;H
TTVJ46;2024;TOTAL;;04/11/2024;04/11/2024;85551;0;0;SAN JOSE;PAPEL;31/03/2025;H
TTVJ47;2024;TOTAL;;04/11/2024;04/11/2024;81552;0;0;VILLARRICA;PAPEL;31/03/2025;H
TTVJ49;2024;TOTAL;;04/11/2024;04/11/2024;65294;0;0;VIÑA;PAPEL;31/03/2025;H
TTVJ54;2024;TOTAL;;04/11/2024;04/11/2024;36385;0;0;COQUIMBO;PAPEL;31/03/2025;H
TTVJ57;2024;TOTAL;;04/11/2024;04/11/2024;77579;0;0;VALPARAISO;PAPEL;31/03/2025;H
TTVJ61;2024;TOTAL;;04/11/2024;04/11/2024;180016;0;0;MAIPU;PAPEL;31/03/2025;H
TTVJ62;2024;TOTAL;;04/11/2024;04/11/2024;53349;0;0;RENCA;PAPEL;31/03/2025;H
TTVJ63;2024;TOTAL;;04/11/2024;04/11/2024;63187;0;0;VALDIVIA;PAPEL;31/03/2025;H
TTVJ65;2024;TOTAL;;04/11/2024;04/11/2024;30946;0;0;MAFIL;PAPEL;31/03/2025;H
TTVJ67;2024;TOTAL;;04/11/2024;04/11/2024;35291;0;0;SAN JOSE;PAPEL;31/03/2025;M
TTVJ68;2024;TOTAL;;04/11/2024;04/11/2024;129417;0;0;VILLARRICA;PAPEL;31/03/2025;M
TTVJ70;2024;TOTAL;;04/11/2024;04/11/2024;91051;0;0;VIÑA;PAPEL;31/03/2025;H
TTVJ72;2024;TOTAL;;04/11/2024;04/11/2024;143042;0;0;COQUIMBO;PAPEL;31/03/2025;M
TTVJ74;2024;TOTAL;;04/11/2024;04/11/2024;37625;0;0;VALPARAISO;PAPEL;31/03/2025;H
TTVJ79;2024;TOTAL;;04/11/2024;04/11/2024;180857;0;0;MAIPU;PAPEL;31/03/2025;M
TTVJ82;2024;TOTAL;;04/11/2024;04/11/2024;38204;0;0;RENCA;PAPEL;31/03/2025;H
TTVJ83;2024;TOTAL;;04/11/2024;04/11/2024;453253;0;0;VALDIVIA;PAPEL;31/03/2025;M
TTVJ90;2024;TOTAL;;04/11/2024;04/11/2024;38204;0;0;MAFIL;PAPEL;31/03/2025;H
TTVJ92;2024;TOTAL;;08/11/2024;08/11/2024;146306;0;0;SAN JOSE;PAPEL;31/03/2025;M
TTVJ93;2024;TOTAL;;04/11/2024;04/11/2024;46398;0;0;VILLARRICA;PAPEL;31/03/2025;H
TTVJ96;2024;TOTAL;;04/11/2024;04/11/2024;46398;0;0;VIÑA;PAPEL;31/03/2025;H
TTVK13;2024;TOTAL;;04/11/2024;04/11/2024;106308;0;0;COQUIMBO;PAPEL;31/03/2025;H
TTVK14;2024;TOTAL;;05/11/2024;05/11/2024;37625;0;0;VALPARAISO;PAPEL;31/03/2025;H
TTVK15;2024;TOTAL;;04/11/2024;04/11/2024;38204;0;0;MAIPU;PAPEL;31/03/2025;H
